"jdv4p","q23","region","agglo","sexe","age_int_reg","pcschef_r","pcsint_r","diplome","religion","pratiquerel"
"Nicolas Sarkozy","France 2","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Musulmane","Jamais"
"François Hollande","France 2","Est","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Jean-Luc Mélenchon","France 2","Centre","2 000 à 20 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BEPC","Catholique","Jamais"
"Jean-Luc Mélenchon","Aucune","Centre","Plus de 100 000 habitants","Femme","65 ans et plus","ouvriers","retraités / autres inactifs","Certificat d'études primaires","Sans religion","NA"
"François Hollande","Aucune","Sud Ouest","Plus de 100 000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Sans religion","NA"
"Abstention","TF1","Sud  Est","Plus de 100 000 habitants","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BAC+2 / niveau BAC+2","Musulmane","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","BFM TV","Est","20 000 à 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","BAC technique","Sans religion","NA"
"François Hollande","France 2","Est","2 000 à 20 000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","retraités / autres inactifs","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","TF1","Sud Ouest","Moins de 2000 habitants","Femme","65 ans et plus","ouvriers","ouvriers","Certificat d'études primaires","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","I-télé","Centre","Moins de 2000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Certificat d'études primaires","Sans religion","NA"
"Jean-Luc Mélenchon","Aucune","Sud  Est","2 000 à 20 000 habitants","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","TF1","Nord","Moins de 2000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","BEPC","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 2","Ouest","Plus de 100 000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Nicolas Sarkozy","Autre","Centre","2 000 à 20 000 habitants","Femme","65 ans et plus","ouvriers","ouvriers","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","Aucune","Ouest","2 000 à 20 000 habitants","Homme","35 à 49 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Femme","65 ans et plus","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"NA","TF1","Sud Ouest","Plus de 100 000 habitants","Femme","18 à 24 ans","ouvriers","employés et personnels de services","CAP/BEP","Sans religion","NA"
"François Bayrou","TF1","Centre","Moins de 2000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Une ou deux fois par mois"
"François Hollande","Canal +","Est","Plus de 100 000 habitants","Femme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","Autre","Nord","Plus de 100 000 habitants","Homme","35 à 49 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","TF1","Nord","Plus de 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Jamais"
"François Hollande","France 3","Paris","Agglomération parisienne","Femme","18 à 24 ans","ouvriers","retraités / autres inactifs","Sans diplôme","Autre religion","Au moins une fois par semaine"
"Abstention","France 2","Centre","20 000 à 100 000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","BFM TV","Ouest","Plus de 100 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Sans religion","NA"
"François Hollande","I-télé","Est","20 000 à 100 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","France 2","Paris","Agglomération parisienne","Femme","25 à 34 ans","ouvriers","retraités / autres inactifs","CAP/BEP","Musulmane","Jamais"
"Abstention","TF1","Est","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"François Hollande","France 2","Paris","Agglomération parisienne","Homme","65 ans et plus","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","CAP/BEP","Musulmane","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 2","Nord","Plus de 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"NA","Aucune","Est","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","TF1","Sud  Est","Moins de 2000 habitants","Femme","50 à 64 ans","artisans, commercants et chef d entreprises","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","M6","Paris","Agglomération parisienne","Femme","35 à 49 ans","employés et personnels de services","employés et personnels de services","Sans diplôme","Bouddhiste","Une ou deux fois par mois"
"François Hollande","Aucune","Centre","2 000 à 20 000 habitants","Homme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","Aucune","Paris","Agglomération parisienne","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Abstention","France 2","Paris","Agglomération parisienne","Femme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Marine Le Pen","Aucune","Sud  Est","2 000 à 20 000 habitants","Femme","25 à 34 ans","retraités / autres inactifs","retraités / autres inactifs","BAC général","Sans religion","NA"
"Abstention","Aucune","Sud  Est","20 000 à 100 000 habitants","Femme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Eva Joly","France 2","Nord","Plus de 100 000 habitants","Femme","35 à 49 ans","employés et personnels de services","employés et personnels de services","Certificat d'études primaires","Sans religion","NA"
"François Hollande","France 3","Est","Plus de 100 000 habitants","Femme","35 à 49 ans","employés et personnels de services","employés et personnels de services","Sans diplôme","Musulmane","De temps en temps, aux grandes fêtes"
"François Hollande","France 2","Centre","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","TF1","Ouest","2 000 à 20 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","BAC technique","Sans religion","NA"
"Jean-Luc Mélenchon","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","25 à 34 ans","employés et personnels de services","employés et personnels de services","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","Aucune","Paris","Agglomération parisienne","Femme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Musulmane","Jamais"
"NA","TF1","Sud Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","employés et personnels de services","employés et personnels de services","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Centre","2 000 à 20 000 habitants","Femme","25 à 34 ans","ouvriers","employés et personnels de services","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"NA","Aucune","Ouest","20 000 à 100 000 habitants","Femme","25 à 34 ans","retraités / autres inactifs","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Eva Joly","TF1","Sud  Est","2 000 à 20 000 habitants","Femme","25 à 34 ans","retraités / autres inactifs","retraités / autres inactifs","BAC général","Sans religion","NA"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Femme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Jamais"
"Abstention","TF1","Ouest","Plus de 100 000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","Certificat d'études primaires","Catholique","De temps en temps, aux grandes fêtes"
"Philippe Poutou","Aucune","Paris","Agglomération parisienne","Homme","25 à 34 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Sans religion","NA"
"Marine Le Pen","BFM TV","Ouest","20 000 à 100 000 habitants","Femme","35 à 49 ans","retraités / autres inactifs","retraités / autres inactifs","BAC général","Sans religion","NA"
"François Hollande","BFM TV","Centre","20 000 à 100 000 habitants","Homme","18 à 24 ans","ouvriers","retraités / autres inactifs","BAC général","Musulmane","Au moins une fois par semaine"
"Abstention","I-télé","Nord","Moins de 2000 habitants","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","BAC technique","Catholique","De temps en temps, aux grandes fêtes"
"Eva Joly","Aucune","Ouest","Moins de 2000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","TF1","Centre","Moins de 2000 habitants","Femme","25 à 34 ans","agriculteurs exploitants","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","Autre","Sud  Est","Plus de 100 000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Sud  Est","Moins de 2000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","TF1","Centre","Moins de 2000 habitants","Femme","18 à 24 ans","ouvriers","employés et personnels de services","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","TF1","Est","2 000 à 20 000 habitants","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","BFM TV","Sud Ouest","2 000 à 20 000 habitants","Homme","25 à 34 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","CAP/BEP","Sans religion","NA"
"Nicolas Dupont-Aignan","France 2","Sud  Est","2 000 à 20 000 habitants","Femme","25 à 34 ans","ouvriers","ouvriers","BAC technique","Sans religion","NA"
"Abstention","BFM TV","Sud  Est","Moins de 2000 habitants","Femme","25 à 34 ans","ouvriers","ouvriers","BAC technique","Sans religion","NA"
"Abstention","Aucune","Sud Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","BAC général","Sans religion","NA"
"Nicolas Sarkozy","M6","Sud  Est","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","retraités / autres inactifs","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Sud  Est","Moins de 2000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","TF1","Sud Ouest","Plus de 100 000 habitants","Femme","25 à 34 ans","retraités / autres inactifs","ouvriers","BAC général","Sans religion","NA"
"François Bayrou","BFM TV","Nord","Moins de 2000 habitants","Homme","25 à 34 ans","employés et personnels de services","employés et personnels de services","BAC général","Sans religion","NA"
"Nicolas Sarkozy","TF1","Ouest","2 000 à 20 000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Ouest","Moins de 2000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Paris","Agglomération parisienne","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","Sans diplôme","Musulmane","De temps en temps, aux grandes fêtes"
"Marine Le Pen","France 2","Sud Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Une ou deux fois par mois"
"Marine Le Pen","Aucune","Sud  Est","Moins de 2000 habitants","Homme","18 à 24 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","France 2","Centre","20 000 à 100 000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","TF1","Est","Moins de 2000 habitants","Femme","65 ans et plus","ouvriers","ouvriers","Certificat d'études primaires","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","BFM TV","Nord","Plus de 100 000 habitants","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BAC général","Catholique","Une ou deux fois par mois"
"Abstention","M6","Ouest","20 000 à 100 000 habitants","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","Autre","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BEPC","Catholique","Jamais"
"Marine Le Pen","TF1","Centre","2 000 à 20 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","retraités / autres inactifs","BAC général","Sans religion","NA"
"Nicolas Sarkozy","TF1","Centre","Moins de 2000 habitants","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BAC technique","Catholique","Au moins une fois par semaine"
"François Hollande","BFM TV","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","Jamais"
"Abstention","Autre","Nord","Plus de 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Marine Le Pen","TF1","Ouest","Plus de 100 000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","Certificat d'études primaires","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","TF1","Sud Ouest","Moins de 2000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Jamais"
"Abstention","Aucune","Nord","Plus de 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","Sans diplôme","Sans religion","NA"
"Abstention","M6","Ouest","2 000 à 20 000 habitants","Femme","50 à 64 ans","ouvriers","ouvriers","Pas de réponse","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","M6","Ouest","Plus de 100 000 habitants","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","France 2","Ouest","Plus de 100 000 habitants","Homme","50 à 64 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Sans religion","NA"
"Abstention","TF1","Sud Ouest","2 000 à 20 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","TF1","Paris","Agglomération parisienne","Femme","25 à 34 ans","professions libérales et cadres","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Sans religion","NA"
"Abstention","France 3","Nord","Plus de 100 000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","BEPC","Catholique","Jamais"
"François Hollande","France 2","Sud Ouest","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","BFM TV","Sud  Est","Plus de 100 000 habitants","Femme","18 à 24 ans","retraités / autres inactifs","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","BFM TV","Est","20 000 à 100 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC technique","Sans religion","NA"
"François Hollande","Aucune","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","Aucune","Sud Ouest","Plus de 100 000 habitants","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Jean-Luc Mélenchon","Aucune","Sud  Est","20 000 à 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Sans religion","NA"
"François Hollande","France 2","Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","TF1","Nord","Plus de 100 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","Aucune","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","France 2","Sud  Est","20 000 à 100 000 habitants","Homme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Autre","Est","Plus de 100 000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","BEPC","Catholique","Au moins une fois par semaine"
"Eva Joly","France 2","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","TF1","Centre","20 000 à 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Une ou deux fois par mois"
"Nicolas Sarkozy","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","Aucune","Paris","Agglomération parisienne","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","Aucune","Sud Ouest","20 000 à 100 000 habitants","Homme","50 à 64 ans","ouvriers","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","TF1","Nord","Plus de 100 000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","BFM TV","Sud Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","ouvriers","employés et personnels de services","BAC technique","Sans religion","NA"
"Nicolas Sarkozy","TF1","Ouest","2 000 à 20 000 habitants","Femme","35 à 49 ans","ouvriers","employés et personnels de services","BAC technique","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","I-télé","Centre","Moins de 2000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","Canal +","Est","2 000 à 20 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Jamais"
"François Hollande","TF1","Ouest","Moins de 2000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","France 2","Centre","Plus de 100 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BAC général","Catholique","Au moins une fois par semaine"
"François Hollande","France 2","Paris","Agglomération parisienne","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","Canal +","Paris","20 000 à 100 000 habitants","Homme","18 à 24 ans","agriculteurs exploitants","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Catholique","Une ou deux fois par mois"
"Abstention","France 2","Centre","20 000 à 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","CAP/BEP","Sans religion","NA"
"Abstention","M6","Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","BEPC","Catholique","Jamais"
"Abstention","TF1","Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans opinion","NA"
"François Hollande","France 2","Sud  Est","2 000 à 20 000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","Diplôme de l'enseignement supérieur","Protestante","Jamais"
"Nicolas Sarkozy","M6","Sud  Est","Plus de 100 000 habitants","Femme","25 à 34 ans","employés et personnels de services","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Marine Le Pen","TF1","Paris","Agglomération parisienne","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","France 2","Est","Plus de 100 000 habitants","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Catholique","Une ou deux fois par mois"
"François Hollande","I-télé","Est","20 000 à 100 000 habitants","Homme","18 à 24 ans","ouvriers","professions libérales et cadres","BAC général","Musulmane","Au moins une fois par semaine"
"Abstention","Aucune","Ouest","20 000 à 100 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BAC technique","Catholique","Une ou deux fois par mois"
"Marine Le Pen","TF1","Sud  Est","Plus de 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Jamais"
"Abstention","Aucune","Paris","Agglomération parisienne","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Sans opinion"
"Abstention","TF1","Paris","2 000 à 20 000 habitants","Femme","65 ans et plus","ouvriers","ouvriers","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Musulmane","Uniquement pour les cérémonies, mariages"
"NA","BFM TV","Paris","Agglomération parisienne","Homme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC général","Catholique","Jamais"
"Abstention","TF1","Ouest","2 000 à 20 000 habitants","Femme","18 à 24 ans","ouvriers","retraités / autres inactifs","BAC général","Sans religion","NA"
"Marine Le Pen","BFM TV","Sud Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","TF1","Sud  Est","Moins de 2000 habitants","Femme","35 à 49 ans","retraités / autres inactifs","retraités / autres inactifs","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"Eva Joly","Aucune","Est","Plus de 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Bayrou","M6","Centre","2 000 à 20 000 habitants","Femme","18 à 24 ans","artisans, commercants et chef d entreprises","retraités / autres inactifs","BAC+2 / niveau BAC+2","Sans religion","NA"
"François Hollande","Aucune","Sud Ouest","2 000 à 20 000 habitants","Femme","50 à 64 ans","retraités / autres inactifs","employés et personnels de services","BEPC","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","BFM TV","Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"NA","Autre","Sud  Est","Plus de 100 000 habitants","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","employés et personnels de services","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","France 3","Ouest","Moins de 2000 habitants","Homme","65 ans et plus","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Certificat d'études primaires","Sans religion","NA"
"François Hollande","BFM TV","Est","Moins de 2000 habitants","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Sud  Est","2 000 à 20 000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","Aucune","Paris","Agglomération parisienne","Femme","50 à 64 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","Aucune","Sud  Est","Moins de 2000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Sans religion","NA"
"Jean-Luc Mélenchon","TF1","Ouest","2 000 à 20 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","CAP/BEP","Sans religion","NA"
